,CurrentPlayer,PlayerStrategy,AvgHealedPerTurn,AvgHeroAttacksPerTurn,AvgCardsDrawnPerTurn,AvgCardsPlayedPerTurn,AvgNumCardsToDraw,AvgFriendlyMinionAttacksPerTurn,AvgFriendlyMinionDeathsPerTurn,AvgMinionsPlayedPerTurn,AvgNumMinionsKilledPerTurn,AvgOptionsPlayedPerTurn,NumSpellsPlayedPerGame,NumHeroPowersUsedPerGame,TotalManaSpentPerGame,AvgRemainingManaPerTurn,AvgManaUsedPerTurn
24673,2.0,1.0,0.5,0.0,1.42,1.17,0.0,1.08,0.33,1.08,0.83,2.25,1.0,0.0,60.0,1.33,4.92
24674,1.0,1.0,0.54,0.0,1.46,1.38,0.0,0.54,0.31,0.77,0.85,1.92,8.0,2.0,65.0,1.54,5.0
24675,2.0,1.0,0.25,0.0,1.33,1.33,0.0,0.67,0.17,0.92,0.58,2.0,5.0,2.0,64.0,1.0,5.25
24676,1.0,1.0,0.33,0.0,1.25,1.08,0.0,0.58,0.33,0.83,0.92,2.0,3.0,1.0,56.0,1.58,4.67
24677,2.0,1.0,0.42,0.0,1.5,1.33,0.0,0.5,0.33,0.83,1.0,1.83,6.0,2.0,53.0,1.92,4.33
24678,1.0,1.0,0.0,0.0,1.09,1.55,0.0,0.27,0.27,1.36,0.55,1.82,2.0,1.0,57.0,0.73,5.18
24679,2.0,1.0,0.0,0.0,1.0,1.09,0.0,1.0,0.27,0.91,0.73,2.09,2.0,0.0,43.0,2.09,3.82
24680,1.0,1.0,0.0,0.0,1.31,1.15,0.0,0.77,0.23,0.92,0.62,2.15,3.0,4.0,69.0,1.23,5.31
24681,2.0,1.0,0.23,0.0,1.62,1.38,0.0,0.38,0.38,1.0,1.0,1.92,5.0,3.0,65.0,1.62,4.92
24682,1.0,1.0,1.36,0.0,1.0,1.0,0.0,0.91,0.18,0.82,0.82,1.91,2.0,0.0,45.0,1.82,4.09
24683,2.0,1.0,0.5,0.0,1.6,1.5,0.0,0.7,0.1,1.0,0.5,2.2,5.0,2.0,49.0,0.7,4.8
24684,1.0,1.0,0.17,0.0,1.5,1.28,0.0,0.17,0.11,0.78,0.61,1.44,9.0,5.0,96.0,2.17,5.33
24685,2.0,1.0,0.39,0.0,1.5,1.56,0.0,0.67,0.39,1.17,1.06,2.22,7.0,4.0,109.0,1.5,6.0
24686,1.0,1.0,0.86,0.0,1.64,1.14,0.0,0.36,0.14,0.79,0.79,1.5,5.0,5.0,77.0,1.29,5.5
24687,2.0,1.0,0.0,0.0,1.21,1.36,0.0,1.07,0.29,1.29,1.07,2.43,1.0,1.0,76.0,1.43,5.36
24688,1.0,1.0,0.38,0.0,1.75,1.19,0.0,0.88,0.19,0.75,0.75,2.06,7.0,3.0,79.0,2.25,4.94
24689,2.0,1.0,0.73,0.0,1.8,1.47,0.0,0.13,0.27,0.87,0.87,1.6,9.0,4.0,73.0,2.2,4.8
24690,1.0,1.0,0.6,0.0,2.0,1.33,0.0,0.47,0.13,0.73,0.8,1.8,9.0,3.0,74.0,2.07,4.93
24691,2.0,1.0,0.21,0.0,1.07,1.36,0.0,0.64,0.21,0.93,0.64,2.0,6.0,1.0,65.0,2.21,4.57
24692,1.0,1.0,0.0,0.0,1.44,0.67,0.0,0.0,0.0,0.22,0.33,0.67,4.0,0.0,14.0,3.44,1.56
24693,2.0,1.0,0.0,0.0,1.12,1.0,0.0,1.25,0.12,0.88,0.25,2.25,1.0,1.0,29.0,1.0,3.5
24694,1.0,1.0,0.0,0.0,1.07,0.93,0.0,0.57,0.21,0.93,0.5,1.5,0.0,1.0,63.0,2.29,4.5
24695,2.0,1.0,0.77,0.0,1.69,1.38,0.0,0.38,0.46,0.77,1.08,1.77,8.0,1.0,55.0,2.38,4.15
24696,1.0,1.0,0.94,0.0,1.72,1.5,0.0,0.72,0.39,0.89,1.94,2.22,11.0,6.0,109.0,1.44,6.06
24697,2.0,1.0,0.17,0.0,1.22,1.67,0.0,1.22,0.11,1.56,0.72,2.89,2.0,2.0,120.0,0.89,6.61
24698,1.0,1.0,0.14,0.0,1.86,1.21,0.0,0.71,0.36,0.71,1.07,1.93,7.0,3.0,64.0,2.21,4.57
24699,2.0,1.0,0.5,0.0,1.14,1.36,0.0,0.29,0.0,1.07,0.36,1.64,4.0,2.0,70.0,1.86,4.93
24700,1.0,1.0,0.0,0.0,1.18,1.18,0.0,0.0,0.0,1.0,0.09,1.18,2.0,2.0,54.0,1.0,4.91
24701,2.0,1.0,0.55,0.0,1.73,1.36,0.0,1.27,0.55,1.0,1.36,2.64,4.0,3.0,48.0,1.64,4.27
24702,1.0,1.0,0.33,0.0,1.25,0.92,0.0,1.25,0.75,0.83,1.5,2.17,1.0,2.0,55.0,1.67,4.58
24703,2.0,1.0,0.0,0.0,1.55,1.18,0.0,0.36,0.0,0.91,0.27,1.55,3.0,0.0,47.0,1.73,4.18
24704,1.0,1.0,2.36,0.0,1.07,1.21,0.0,0.86,0.07,1.0,0.43,2.07,3.0,1.0,82.0,0.93,5.86
24705,2.0,1.0,0.46,0.0,1.62,1.38,0.0,0.31,0.31,0.69,1.0,1.69,9.0,2.0,66.0,1.54,5.0
24706,1.0,1.0,0.44,0.0,1.22,0.78,0.0,0.0,0.0,0.33,0.22,0.78,4.0,0.0,28.0,1.89,3.11
24707,2.0,1.0,0.0,0.0,1.11,1.0,0.0,0.89,0.22,0.78,0.44,1.89,2.0,1.0,33.0,1.44,3.56
24708,1.0,1.0,0.67,0.0,1.11,0.89,0.0,0.78,0.11,0.56,0.56,1.67,3.0,0.0,30.0,1.67,3.33
24709,2.0,1.0,0.0,0.0,1.62,1.12,0.0,0.12,0.0,0.75,0.0,1.25,3.0,0.0,30.0,0.88,3.62
24710,1.0,1.0,0.27,0.0,1.6,1.07,0.0,0.27,0.0,0.73,0.6,1.67,5.0,1.0,78.0,1.8,5.2
24711,2.0,1.0,0.6,0.0,1.33,1.47,0.0,0.53,0.27,1.0,1.0,2.0,7.0,4.0,90.0,1.07,5.93
24712,1.0,1.0,0.62,0.0,1.62,1.31,0.0,0.85,0.46,0.92,1.46,2.23,5.0,2.0,55.0,2.31,4.23
24713,2.0,1.0,0.0,0.0,1.08,1.92,0.0,0.83,0.25,1.83,0.5,2.75,1.0,1.0,65.0,0.92,5.33
24714,1.0,1.0,0.0,0.0,1.46,1.0,0.0,1.0,0.23,0.69,0.77,2.0,4.0,1.0,60.0,1.92,4.62
24715,2.0,1.0,0.75,0.0,1.08,1.33,0.0,0.17,0.33,0.92,0.75,1.5,5.0,1.0,54.0,1.83,4.42
24716,1.0,1.0,0.0,0.0,1.64,1.36,0.0,0.27,0.0,0.82,0.27,1.73,6.0,2.0,45.0,1.82,4.09
